"Peak Results"
"SampleName"	"Sample Type"	"Name"	"RT"	"Area"
" 204900003 A2 INJ 1"	"Unknown"	"Megestrol"	3.518	196959
" 204900003 B3 INJ 1"	"Unknown"	"Megestrol"	3.519	203664
" USP MGA RS 11"	"Standard"	"Megestrol"	3.519	202172
" 204900003 A3 INJ 2"	"Unknown"	"Megestrol"	3.521	204430
" 204900003 B2 INJ 2"	"Unknown"	"Megestrol"	3.522	198601
" USP MGA RS 10"	"Standard"	"Megestrol"	3.524	199835
" 204900003 B1 INJ 1"	"Unknown"	"Megestrol"	3.526	195048
" 204900003 B1 INJ 2"	"Unknown"	"Megestrol"	3.527	201685
" 204900003 B3 INJ 2"	"Unknown"	"Megestrol"	3.528	193189
" 204900003 C3 INJ 2"	"Unknown"	"Megestrol"	3.528	183486
" 204900003 C3 INJ 1"	"Unknown"	"Megestrol"	3.529	190932
" 204900003 A1 INJ 2"	"Unknown"	"Megestrol"	3.529	195116
" USP MGA RS 1"	"Standard	"Megestrol"	3.529	188156
" 204900003 C2 INJ 2"	"Unknown"	"Megestrol"	3.530	193564
" 204900003 C1 INJ 2"	"Unknown"	"Megestrol"	3.531	199450
" USP MGA RS 3"	"Standard"	"Megestrol"	3.531	196205
" USP MGA RS 2"	"Standard"	"Megestrol"	3.531	197611
" 204900003 C2 INJ 1"	"Unknown"	"Megestrol"	3.532	187128
" 204900003 B2 INJ 1"	"Unknown"	"Megestrol"	3.533	201151
" USP MGA RS 12"	"Standard"	"Megestrol"	3.534	196774
" 204900003 A2 INJ 2"	"Unknown"	"Megestrol"	3.534	191016
" 204900003 C1 INJ 1"	"Unknown"	"Megestrol"	3.535	203715
" USP MGA RS 5"	"Standard"	"Megestrol"	3.536	201823
" 204900003 A3 INJ 1"	"Unknown"	"Megestrol"	3.536	194873
" USP MGA RS 4"	"Standard"	"Megestrol"	3.539	197486
" 204900003 A1 INJ 1"	"Unknown"	"Megestrol"	3.541	187888
" USP MGA RS 11"	"Standard"	"Melengestrol"	3.563	203726
" 204900003 A2 INJ 1"	"Unknown"	"Melengestrol"	3.563	145062
" 204900003 B2 INJ 2"	"Unknown"	"Melengestrol"	3.564	166326
" 204900003 B3 INJ 1"	"Unknown"	"Melengestrol"	3.564	163406
" 204900003 A3 INJ 2"	"Unknown"	"Melengestrol"	3.565	137106
" 204900003 B1 INJ 2"	"Unknown"	"Melengestrol"	3.567	158569
" 204900003 C3 INJ 1"	"Unknown"	"Melengestrol"	3.569	125156
" 204900003 B3 INJ 2"	"Unknown"	"Melengestrol"	3.571	159846
" 204900003 C3 INJ 2"	"Unknown"	"Melengestrol"	3.572	126564
" 204900003 B1 INJ 1"	"Unknown"	"Melengestrol"	3.572	173979
" USP MGA RS 10"	"Standard"	"Melengestrol"	3.573	221768
" 204900003 C1 INJ 2"	"Unknown"	"Melengestrol"	3.574	139619
" USP MGA RS 3"	"Standard"	"Melengestrol"	3.575	203245
" 204900003 C2 INJ 2"	"Unknown"	"Melengestrol"	3.575	135961
" USP MGA RS 12"	"Unknown"	"Melengestrol"	3.576	198051
" USP MGA RS 5"	"Standard"	"Melengestrol"	3.576	210844
" 204900003 A1 INJ 2"	"Unknown"	"Melengestrol"	3.576	148082
" 204900003 A3 INJ 1"	"Unknown"	"Melengestrol"	3.577	148883
" USP MGA RS 1"	"Standard"	"Melengestrol"	3.577	202199
" 204900003 C2 INJ 1"	"Unknown"	"Melengestrol"	3.578	143209
" 204900003 B2 INJ 1"	"Unknown"	"Melengestrol"	3.579	172776
" USP MGA RS 4"	"Standard"	"Melengestrol"	3.580	199214
" 204900003 A2 INJ 2"	"Unknown"	"Melengestrol"	3.580	142203
" 204900003 C1 INJ 1"	"Unknown"	"Melengestrol"	3.581	143577
" USP MGA RS 2"	"Standard"	"Melengestrol"	3.581	184135
" 204900003 A1 INJ 1"	"Unknown"	"Melengestrol"	3.583	150880
