Peak Results
SampleName	Sample Type	Name	RT	Area	Dilution	SampleWeight
 204900002_4h shake #1 INJ 1	Unknown	Megestrol	3.495	149141	5000.00000	50.19000
 USP MGA RS 4	Standard	Megestrol	3.501	166681	1.00000	1.00000
 204900001_4h shake #5 INJ 2	Unknown	Megestrol	3.503	171439	5000.00000	50.33000
 USP MGA RS 1	Standard	Megestrol	3.503	159146	1.00000	1.00000
 204900003_4h shake #5 INJ 2	Unknown	Megestrol	3.503	150279	5000.00000	50.43000
 USP MGA RS 7	Standard	Megestrol	3.504	158819	1.00000	1.00000
 204900002_4h shake #5 INJ 2	Unknown	Megestrol	3.505	161570	5000.00000	51.27000
 204900002_4h shake #1 INJ 2	Unknown	Megestrol	3.506	166734	5000.00000	50.19000
 204900001_4h shake #5 INJ 1	Unknown	Megestrol	3.507	172299	5000.00000	50.33000
 USP MGA RS 2	Standard	Megestrol	3.507	167919	1.00000	1.00000
 204900001_4h shake #9 INJ 2	Unknown	Megestrol	3.509	165980	5000.00000	50.28000
 204900002_4h shake #9 INJ 1	Unknown	Megestrol	3.509	160016	5000.00000	50.20000
 204900003_4h shake #9 INJ 1	Unknown	Megestrol	3.509	150911	5000.00000	49.89000
 204900003_4h shake #5 INJ 1	Unknown	Megestrol	3.510	149867	5000.00000	50.43000
 204900001_4h shake #1 INJ 1	Unknown	Megestrol	3.510	169966	5000.00000	50.80000
 204900002_4h shake #5 INJ 1	Unknown	Megestrol	3.510	167227	5000.00000	51.27000
 204900003_4h shake #1 INJ 2	Unknown	Megestrol	3.510	142762	5000.00000	49.98000
 204900003_4h shake #1 INJ 1	Unknown	Megestrol	3.512	143076	5000.00000	49.98000
 USP MGA RS 3	Standard	Megestrol	3.512	166306	1.00000	1.00000
 USP MGA RS 6	Standard	Megestrol	3.512	175287	1.00000	1.00000
 204900001_4h shake #9 INJ 1	Unknown	Megestrol	3.514	171316	5000.00000	50.28000
 204900002_4h shake #9 INJ 2	Unknown	Megestrol	3.515	157556	5000.00000	50.20000
 204900001_4h shake #1 INJ 2	Unknown	Megestrol	3.515	163097	5000.00000	50.80000
 204900003_4h shake #9 INJ 2	Unknown	Megestrol	3.517	147319	5000.00000	49.89000
 USP MGA RS 8	Standard	Megestrol	3.518	157075	1.00000	1.00000
 USP MGA RS 5	Standard	Megestrol	3.519	173955	1.00000	1.00000
 204900002_4h shake #1 INJ 1	Unknown	Melengestrol	3.538	141776	5000.00000	50.19000
 204900003_4h shake #5 INJ 2	Unknown	Melengestrol	3.548	155141	5000.00000	50.43000
 204900001_4h shake #9 INJ 2	Unknown	Melengestrol	3.550	153426	5000.00000	50.28000
 204900002_4h shake #5 INJ 2	Unknown	Melengestrol	3.550	153377	5000.00000	51.27000
 204900002_4h shake #1 INJ 2	Unknown	Melengestrol	3.550	138655	5000.00000	50.19000
 204900003_4h shake #1 INJ 1	Unknown	Melengestrol	3.551	127847	5000.00000	49.98000
 204900001_4h shake #5 INJ 2	Unknown	Melengestrol	3.552	171457	5000.00000	50.33000
 204900002_4h shake #5 INJ 1	Unknown	Melengestrol	3.553	147366	5000.00000	51.27000
 204900001_4h shake #5 INJ 1	Unknown	Melengestrol	3.554	161553	5000.00000	50.33000
 204900003_4h shake #1 INJ 2	Unknown	Melengestrol	3.555	119467	5000.00000	49.98000
 204900001_4h shake #1 INJ 1	Unknown	Melengestrol	3.556	128958	5000.00000	50.80000
 204900001_4h shake #1 INJ 2	Unknown	Melengestrol	3.557	126609	5000.00000	50.80000
 204900003_4h shake #9 INJ 1	Unknown	Melengestrol	3.557	131089	5000.00000	49.89000
 204900003_4h shake #5 INJ 1	Unknown	Melengestrol	3.558	138876	5000.00000	50.43000
 204900002_4h shake #9 INJ 1	Unknown	Melengestrol	3.559	145546	5000.00000	50.20000
 204900001_4h shake #9 INJ 1	Unknown	Melengestrol	3.559	149565	5000.00000	50.28000
 204900003_4h shake #9 INJ 2	Unknown	Melengestrol	3.565	120895	5000.00000	49.89000
 204900002_4h shake #9 INJ 2	Unknown	Melengestrol	3.566	131477	5000.00000	50.20000
 USP MGA RS 1	Standard	Melengestrol	3.503	150094654	1.00000	1.00000
 USP MGA RS 2	Standard	Melengestrol	3.503	191943	1.00000	1.00000
 USP MGA RS 3	Standard	Melengestrol	3.503	187206	1.00000	1.00000
 USP MGA RS 4	Standard	Melengestrol	3.503	198517	1.00000	1.00000
 USP MGA RS 5	Standard	Melengestrol	3.503	206943	1.00000	1.00000
 USP MGA RS 6	Standard	Melengestrol	3.503	203450	1.00000	1.00000
 USP MGA RS 7	Standard	Melengestrol	3.503	181375	1.00000	1.00000
 USP MGA RS 8	Standard	Melengestrol	3.503	178029	1.00000	1.00000
